square_feet,bedrooms,bathrooms,age_years,lot_size,garage_spaces,has_pool,has_basement,neighborhood_score,price
2062,4,3,15,8694.40316014758,0,0,0,6.608551820789685,482518.9075618619
871,2,3,40,19977.065780497436,1,0,1,1.6698557659466409,335151.7548737385
1454,2,1,31,2044.3598299566193,0,0,0,5.533225851137002,306346.2226091698
1068,3,1,14,11992.294545867098,2,0,1,2.64362617227791,350918.7405331603
2576,2,1,26,2568.8710026702665,0,0,1,6.165776575285677,553623.1195224746
3262,3,2,27,3935.8957698198606,2,0,0,6.736641510350651,669612.5027336568
2068,5,1,16,9351.695893685075,3,0,0,6.010383308975685,507672.6861203467
1815,4,3,45,10698.742495582384,3,0,0,7.644659594304769,535110.3883421958
3522,1,3,49,5917.055758925956,3,0,1,4.020483198168112,679659.6716096706
1883,4,1,1,7012.685486613907,2,1,1,7.885959324698178,483714.106409599
805,3,1,35,2652.373384862728,0,0,1,4.8949037353737435,224675.43813901956
1781,3,3,49,6761.17589304076,0,0,0,5.357660484903371,420265.9280401375
3417,4,1,6,19364.610348230337,1,0,1,6.832919145349643,769221.3263070495
1206,3,3,12,18949.440251777152,2,0,0,1.1652254559930157,349794.1580226628
2753,2,2,14,7362.687512602715,1,0,0,6.885947992782235,547752.2717616424
2873,2,3,24,11846.22478929647,3,0,0,6.567266341649038,626027.5904387757
3876,3,2,22,18282.31243110794,0,0,0,3.7886240507795192,770388.6749324588
1785,3,1,21,1117.4926301770367,2,0,1,1.7721485640954053,369810.19978943764
1189,2,1,25,16402.987836414246,1,0,0,1.8184190492173702,311875.2321563412
1509,3,2,32,19019.02150298946,1,0,0,9.309013722867057,449846.6700732649
3418,3,1,10,2735.188952337584,1,0,0,7.203513891032534,681149.9425323993
2271,4,2,9,4067.5060346254995,0,0,1,2.1439235239366634,441485.60417563334
1553,1,1,24,19254.179752655753,0,0,1,4.210508523780157,425372.7988981555
2993,2,3,36,11213.26272916658,0,0,0,6.3323469451143675,630116.2487659839
2211,4,1,47,1269.7360549627504,2,0,0,8.520145345815838,496306.7798104067
3632,1,3,42,5895.007976507054,0,1,0,1.3929483584170768,633315.8576082477
2072,3,3,37,9548.929811108334,2,0,1,3.12969818323008,474488.54692605836
1325,3,2,40,14165.269309470586,1,1,0,9.00774091265842,428754.606819558
2285,4,1,44,14930.047184599192,1,0,0,1.0824899516543485,459697.1802275091
2860,3,2,23,19913.008745583666,3,0,0,2.8125919251449867,633696.1320492701
3750,5,1,39,6462.712788291421,0,0,0,9.631217583756694,768207.5289004482
3231,4,3,45,11226.18193550103,1,1,1,6.52061661869954,685550.3989211412
1355,1,3,32,11133.147409332496,0,0,0,3.355042299737558,318321.9258798163
3734,4,1,16,8707.259929497512,2,0,0,1.6029198495626285,667350.5917689888
818,2,1,23,4214.075983005983,1,0,0,1.2537220640249993,185919.23531255894
1374,4,2,36,19571.674700493008,0,0,0,3.2027057167323454,385274.9052902111
3598,3,1,1,17213.026546665133,1,0,1,8.933372376300195,798045.1481851417
1803,3,1,31,10468.327537590507,1,1,0,4.743222888677585,428398.3286331559
3266,5,1,23,12461.663030996566,0,1,1,7.483000322493937,721595.9839143082
3266,5,2,8,5317.960017633583,1,0,1,9.26456531841962,716104.4141826042
2738,5,1,3,11331.95433744319,1,1,0,4.672364154425349,610491.4944555856
2739,1,3,16,14204.43252930804,1,0,0,2.7214963393365736,578153.3872690578
2435,5,2,16,10788.173539345187,1,0,0,5.654061377712275,553285.0138311938
2498,1,2,49,19815.418241113883,2,0,1,9.17275318353869,644931.9909624563
2969,5,3,47,12615.491468706798,1,0,0,8.239369727239305,721153.5515503029
1231,1,3,29,8048.500539251212,3,1,0,1.5924685902683842,339441.80809428124
2891,4,3,39,15670.888524700924,1,0,0,7.233155200698237,662395.8179046683
2695,4,1,10,4238.787720051199,0,0,1,6.147077702130584,564406.3618079068
2743,3,3,20,8305.800460419065,3,0,0,9.16716858711783,611630.0264556007
2140,1,1,20,7592.220057174131,2,0,0,2.102332751652675,414586.5371517057
3228,2,2,17,9204.334807047768,3,0,0,5.8063250188419095,639158.4320846858
944,3,2,28,15853.8166926458,3,1,0,8.91516424160703,410220.2642241059
3210,4,3,23,10199.28761110474,3,1,1,4.690214080675688,697371.3927027376
1873,1,1,9,16086.274555053293,0,0,0,5.337954259595803,428365.3664640466
1888,5,3,44,11953.289159657452,0,0,1,1.6341460990026246,409868.4886778525
3202,2,3,16,7499.319258493551,0,0,1,3.5032927640401974,601364.6101339164
1599,4,1,17,16389.596129985977,2,0,0,3.920559842520526,430601.05513385613
3673,3,3,41,5527.50374050874,0,0,1,9.506102038703983,725771.6175232149
1951,1,2,47,5263.276616196114,0,0,0,3.5440062448704315,392181.92520539643
3245,2,3,19,10585.55555704188,3,0,0,5.147818617426868,651578.1821912118
2756,1,1,36,5956.135673279689,0,0,1,7.041739812078518,544663.166512899
3727,5,1,44,1172.6536640731101,1,0,0,2.4596503516708967,625272.2592576394
1262,3,2,17,13317.653018677229,0,0,1,5.37798148427687,383877.4754368254
2574,1,1,16,10710.782607975561,2,0,0,7.646851355283168,518426.6800108067
2845,4,1,8,9464.838475370063,2,0,1,8.801696917243595,635027.502036695
1607,3,2,13,19372.401777747993,1,1,0,6.636333471961841,468851.0779026037
986,4,3,48,11852.78449529536,2,0,0,7.021481637852531,372043.3903611817
2543,1,2,28,17405.199977998305,2,1,0,2.1365512532611204,561086.7617116867
1531,3,3,30,3649.554487898043,3,0,1,9.511988475217125,417366.1360993518
2735,4,2,3,11814.922799459126,1,0,1,2.193166697360341,578692.6662384814
2013,5,3,17,17491.612907887156,3,0,0,7.972056434636185,564182.272031341
2211,5,2,19,12079.009388318062,3,1,1,3.3833468960048694,574383.6597790099
1228,1,3,46,14642.269384413028,0,0,0,9.402338293311264,408865.2128082565
3705,3,2,42,8068.8277884319405,1,0,0,7.479635854325316,689057.5945551966
2107,2,3,43,2756.5408237042657,0,0,1,7.784323416805321,482709.9977742041
3084,3,2,8,9700.105607414356,0,0,1,2.97153255753895,595349.9322273072
2017,5,1,12,8495.108425938293,3,0,1,4.9873597897164474,487840.80457246955
2110,4,3,14,17474.1434652,2,1,1,6.560318751303578,599118.989420255
1570,2,2,26,5635.910744696973,1,0,0,7.929762563859408,424309.30263318843
1557,1,3,14,19367.950323167053,2,0,1,1.9356343832115062,408669.1009073326
935,2,3,27,19204.624276285427,3,0,0,9.661287848090755,425080.9943152007
1591,1,2,36,5705.001218357335,3,0,0,9.011986034991004,379864.7782783044
970,2,3,18,7612.987154069089,3,0,0,3.433137314460259,273084.43721813336
3006,1,2,25,18015.559076603815,3,0,0,8.404842187290988,677095.4862243121
3048,1,1,25,19365.822197026042,3,0,0,5.664915307358411,647612.8538785087
2380,2,3,24,9425.342953884836,3,0,0,5.156258334058168,476042.9317406209
1761,2,1,25,7098.943867177059,2,0,0,3.8299069523026485,399635.7146464217
3430,1,3,25,10995.786251779298,0,1,0,6.228717279684332,651483.8215671228
1675,5,3,45,14067.614920948961,2,0,0,7.56900205933238,482859.34647580254
3218,2,3,27,6196.015792124616,1,0,0,4.698396144664825,646716.3494393774
902,3,2,48,14992.990317762384,2,0,0,6.662972737074629,373078.3582933318
1801,4,1,17,1981.4897851781798,3,0,1,7.293816290397734,431234.6145560966
1948,1,3,31,1936.5953625239124,2,0,1,7.400096353137573,417724.9586716535
3823,1,2,2,8339.466397765358,0,0,1,1.4676948831806222,709635.2453359921
3645,4,3,1,7715.990649153691,1,0,0,8.737730251165601,782510.3867598297
2281,5,2,32,6997.031091975893,2,1,1,5.124279832885431,533598.1079971642
1457,4,3,41,10329.37549070929,0,0,0,3.3617447352659298,355999.5756420216
3729,2,1,18,7093.938063919853,2,0,0,3.1758805673171344,654230.6527195818
2020,4,1,16,4652.900450893747,1,0,0,5.347127015595554,427844.0416957316
3580,1,3,43,6879.921432683417,2,0,1,8.981483855220633,732035.8085636559
1222,4,2,32,19523.181183394463,3,0,0,4.405128235143822,391646.89661367505
3419,3,3,11,8811.154922902124,2,1,0,7.74753172105189,731089.4863137846
970,2,2,48,9449.542760308379,0,0,0,1.8713685788849674,250286.97997860305
3020,4,3,2,11954.35480907166,2,0,1,5.284510319359556,650968.5944177763
3510,1,2,42,19683.474599870304,0,0,1,9.925175263534621,750650.4112364261
1252,2,1,48,5590.4242522794975,1,0,0,7.933940225131033,280572.7031307258
3197,1,3,25,13944.360100116242,2,0,0,2.894756395965517,638887.6139272944
2775,5,1,34,14603.709177292758,1,0,0,5.5129732632811965,561610.1703564384
2457,3,1,7,12539.163919068253,1,0,1,3.102622872837099,544572.2508602409
3341,5,3,35,2682.988453096237,2,0,0,4.686048345362583,628632.6778032669
3467,3,3,6,13860.573240723954,0,0,1,8.020756213614682,721108.8570325375
3875,4,2,45,2217.799509687334,1,1,0,7.9410233376136325,739976.9650065405
3964,2,2,45,12326.710341448043,1,0,1,3.0529034011214664,771484.7315519959
3766,4,1,35,15052.042367213111,2,1,0,9.300009863393742,820884.1595384345
2853,3,2,15,5008.427921779058,2,0,0,6.333113644883442,546376.9939486504
1087,3,2,23,16990.818143312707,2,0,0,4.419318618658131,329834.771550254
2441,3,3,0,1576.722305127081,2,0,0,5.5174202270277455,512295.8063309988
2247,1,2,48,17032.444409507814,2,0,0,6.445641280939693,563435.6980923532
2713,2,1,24,9746.251962212536,3,0,1,6.039014786612069,559292.3247178061
1407,4,2,9,5134.170858701245,2,0,0,5.377645319825604,353379.6026176984
1256,4,1,15,3541.784754885392,0,0,1,5.544395236804601,354601.46388007654
2564,5,3,15,19112.83618406508,1,1,1,2.5877071938509757,640439.3969640827
2025,3,1,7,2380.6461640419775,0,0,0,8.314596138742115,461359.1927536059
2035,3,2,28,4782.774978782588,0,0,1,5.875842879469138,434380.312885085
1829,3,3,38,7608.624601227873,3,0,1,2.1797187553423276,427157.5936049816
3471,4,2,27,12784.462130261289,2,1,0,7.895413914245001,782339.0870375214
3223,5,3,5,11351.22062024587,1,0,1,9.391995805396157,746729.2436204749
1246,1,3,15,3387.2263558339655,0,0,0,9.52576209313266,369054.8166610257
1634,2,2,19,6504.831691026078,2,0,0,4.321159591700555,385081.10038082657
3977,1,2,15,5536.283650634457,2,0,1,2.219651862046786,689135.3553052618
1610,4,3,6,5057.314235316486,3,1,0,5.665596639697586,449116.19332663785
2224,3,3,40,8811.742393119754,3,0,0,2.013483064142986,496421.2224525293
3967,2,2,13,14376.59759924148,3,0,0,9.405886766613555,841880.1794860807
2211,4,1,42,5131.605712127483,1,1,1,2.652216646196314,460025.13705418404
1758,4,2,25,7966.898714356646,0,0,1,3.2748927395604768,370949.13318795804
2275,4,3,25,8427.431109982084,3,0,0,4.659728741964734,490564.6133413635
3696,2,2,13,19552.674059272795,3,0,1,4.448480217032132,747482.060674143
1608,2,1,6,19138.66078070231,3,0,1,8.151966031581,479204.1200839905
1778,5,2,32,16202.614072289442,0,0,0,5.106851384958661,455239.22673716483
3263,5,3,25,5591.519495564518,0,0,0,2.536914340030032,595768.5128562424
1525,1,2,44,2292.7089677417243,3,0,1,3.404889059374667,351712.6913063756
3301,2,3,19,7021.17861669187,3,0,1,5.582020466687698,655300.7162059254
2016,2,3,2,6069.096439242786,2,0,1,2.327085256835214,423605.1539232258
2997,2,2,3,10612.590202781485,3,1,0,6.504901080814127,661926.6768997677
2703,5,3,25,15776.830291288068,1,0,0,6.0917257589603135,655229.511445908
3606,4,3,10,17308.135838698305,1,0,0,7.4323208474403195,830860.9800641582
1578,3,1,1,17052.41762279966,3,0,0,9.43934153841431,496506.404588205
